"traits","expt","df","obs","p","lower","upper"
"tofu_vs_surv","it2010",394,0.403426159316554,6.23555954235164e-17,0.327032303657506,0.479830147063228
"tofu_vs_surv","it2011",396,0.384518655863741,1.79282285397407e-15,0.303711879609864,0.459293843295102
"tofu_vs_surv","sw2010",393,0.0441838553270931,0.381148802272027,-0.0496088522207623,0.130019958650293
"tofu_vs_surv","sw2011",392,0.369454420837882,3.45542774771313e-14,0.287851364558134,0.455604897280495
"frut_vs_numb","it2010",394,0.494080288278549,9.17333698676726e-26,0.407685169765935,0.568584357885513
"frut_vs_numb","it2011",396,0.390077934371709,6.48421113168049e-16,0.30710581431863,0.473877010464476
"frut_vs_numb","sw2010",393,0.161695724750141,0.00126104841955306,0.0610832802023335,0.262177611778141
"frut_vs_numb","sw2011",392,0.456174011748633,1.20710444879903e-21,0.384098701083581,0.523647683051119
"tofu_vs_mass","it2010",393,0.0235474937185779,0.640801316208054,-0.0636994948629907,0.12468473701339
"tofu_vs_mass","it2011",396,0.0573861813529776,0.253374495171464,-0.0404693808355545,0.154675119885429
"tofu_vs_mass","sw2010",393,-0.207022083890119,3.37672379999451e-05,-0.333566119071519,-0.0785638992155957
"tofu_vs_mass","sw2011",392,0.0318073851054388,0.529013982547682,-0.0673448257444792,0.141160655022331
